Job Title,Company,Location,Description,Skills
Cyber Security Lead,,DN40,"Manage and enhance IT security systems across hardware, software, and network infrastructure.
Ensuring the security and integrity of IT operations.
Oversee security for Windows 11, Windows Server (2016-2022), Linux, Microsoft 365, and networking systems including firewalls, switches, and WAPs.
Develop and maintain security policies in line with ISO27001 and Cyber Essentials.
Lead the management of Active Directory, VPNs, firewalls, and virtualisation tools.
Contribute to IT best practices, process documentation, and continuous improvements.
Mentor and support colleagues in cyber security and IT operations.
Previous experience working with cyber security.
Strong expertise in VPNs, firewalls, security tools, ITIL, ISO27001, and Cyber Essentials.
Certifications such as CompTIA Security+, CISSP, CISM, ITIL, VMware, or Microsoft 365 are highly desirable.
A strategic mindset with the ability to assess threats and implement security improvements.
Excellent troubleshooting, project management, and stakeholder engagement skills.
Full time working Monday to Friday, 40 hours between 7am – 5pm
25 days holiday plus bank holidays
Death in service policy x 8
Healthcare cash plan
Discretionary annual bonus
Hybrid working after 3-6 months could be available
This is a pivotal role in shaping our cyber security strategy and protecting their IT infrastructure.
The opportunity to work on high-level security projects with a global impact.
A collaborative and supportive work environment where your expertise is valued.","Manage and enhance IT security systems across hardware, software, and network infrastructure., Ensuring the security and integrity of IT operations., Oversee security for Windows 11, Windows Server (2016-2022), Linux, Microsoft 365, and networking systems including firewalls, switches, and WAPs., Develop and maintain security policies in line with ISO27001 and Cyber Essentials., Lead the management of Active Directory, VPNs, firewalls, and virtualisation tools., Contribute to IT best practices, process documentation, and continuous improvements., Mentor and support colleagues in cyber security and IT operations., Previous experience working with cyber security., Strong expertise in VPNs, firewalls, security tools, ITIL, ISO27001, and Cyber Essentials., Certifications such as CompTIA Security+, CISSP, CISM, ITIL, VMware, or Microsoft 365 are highly desirable., A strategic mindset with the ability to assess threats and implement security improvements., Excellent troubleshooting, project management, and stakeholder engagement skills., Full time working Monday to Friday, 40 hours between 7am – 5pm, 25 days holiday plus bank holidays, Death in service policy x 8, Healthcare cash plan, Discretionary annual bonus, Hybrid working after 3-6 months could be available, This is a pivotal role in shaping our cyber security strategy and protecting their IT infrastructure., The opportunity to work on high-level security projects with a global impact., A collaborative and supportive work environment where your expertise is valued."
Graduate CE & I Engineer with Digital and Cyber Security,,NE1,"Develop technical skills and specialist expertise in your particular discipline.
Be supported through non-technical training, emphasising personal growth and development of consulting skills.
Take on real responsibilities from day one, working on various exciting and impactful projects across different industry sectors.
Work as part of a diverse team with opportunities to travel through involvement in international projects.
Be actively supported on your journey towards chartership with your relevant professional body.
Support the OT Cyber Security team in delivering cybersecurity services to industrial control systems (ICS).
Perform system hardening, vulnerability assessments, and network troubleshooting.
Assist in compliance checks and ensure solutions meet industry standards (IEC 62443, NIST) and customer requirements.
Support in the creation of cyber security strategy and policy documentation.
Collaborate with the projects team on the design of ICS security measures for client projects.
Provide technical support during project lifecycles, including responding to security issues and evaluating system security.
Help clarify technical queries for customers and provide support during system evaluations and installations.
Participate in meetings, workshops, and seminars to present cybersecurity solutions and risk evaluations to clients.
Assist in identifying and mitigating cybersecurity risks during system design and implementation.
Contribute to risk assessments and the development of strategies to enhance system security.
Continuously update knowledge in OT Cyber Security and industrial networking technologies.
Participate in the graduate development scheme and progress towards specialization in OT cybersecurity.
Work towards membership of a professional institution and chartered engineer status.
Use standard cybersecurity tools and processes to manage tasks efficiently.
Identify opportunities for process improvements and contribute to their implementation.
Minimum 2:1 degree in Control, Electrical, Instrumentation, or Network Engineering, or a related discipline.
Strong understanding of Industrial Control Systems (ICS) and basic networking concepts (TCP/IP).
Good problem-solving skills, with the ability to troubleshoot network and security issues.
Excellent communication skills to interact with clients, team members, and stakeholders.
Self-motivated and eager to learn, with a proactive approach to work.
Clean UK driving license.
Familiarity with cybersecurity principles, including system hardening, vulnerability assessments, and intrusion detection.
Knowledge of relevant cybersecurity frameworks and standards, such as IEC 62443 and NIST.
Experience working in a high-hazard industry (e.g., oil, gas, chemicals) with exposure to Distributed Control Systems (DCS) and SCADA.","Develop technical skills and specialist expertise in your particular discipline., Be supported through non-technical training, emphasising personal growth and development of consulting skills., Take on real responsibilities from day one, working on various exciting and impactful projects across different industry sectors., Work as part of a diverse team with opportunities to travel through involvement in international projects., Be actively supported on your journey towards chartership with your relevant professional body., Support the OT Cyber Security team in delivering cybersecurity services to industrial control systems (ICS)., Perform system hardening, vulnerability assessments, and network troubleshooting., Assist in compliance checks and ensure solutions meet industry standards (IEC 62443, NIST) and customer requirements., Support in the creation of cyber security strategy and policy documentation., Collaborate with the projects team on the design of ICS security measures for client projects., Provide technical support during project lifecycles, including responding to security issues and evaluating system security., Help clarify technical queries for customers and provide support during system evaluations and installations., Participate in meetings, workshops, and seminars to present cybersecurity solutions and risk evaluations to clients., Assist in identifying and mitigating cybersecurity risks during system design and implementation., Contribute to risk assessments and the development of strategies to enhance system security., Continuously update knowledge in OT Cyber Security and industrial networking technologies., Participate in the graduate development scheme and progress towards specialization in OT cybersecurity., Work towards membership of a professional institution and chartered engineer status., Use standard cybersecurity tools and processes to manage tasks efficiently., Identify opportunities for process improvements and contribute to their implementation., Minimum 2:1 degree in Control, Electrical, Instrumentation, or Network Engineering, or a related discipline., Strong understanding of Industrial Control Systems (ICS) and basic networking concepts (TCP/IP)., Good problem-solving skills, with the ability to troubleshoot network and security issues., Excellent communication skills to interact with clients, team members, and stakeholders., Self-motivated and eager to learn, with a proactive approach to work., Clean UK driving license., Familiarity with cybersecurity principles, including system hardening, vulnerability assessments, and intrusion detection., Knowledge of relevant cybersecurity frameworks and standards, such as IEC 62443 and NIST., Experience working in a high-hazard industry (e.g., oil, gas, chemicals) with exposure to Distributed Control Systems (DCS) and SCADA."
OT Cyber Security Engineer,,Belfast,"Strong experience in OT architecture or consultancy.
Solid understanding of IT and OT security risks and compliance frameworks (NIST, IEC 62443, etc.).
Hands-on experience with OT-specific protocols (Modbus, DNP3, OPC) and industrial control systems.
Proven track record delivering cybersecurity strategies, risk assessments, and security designs.
Excellent communication skills to produce high-quality documentation and presentations.
A full UK driving licence and willingness to travel across the UK and occasionally abroad
Shaping and executing OT security strategies.
Building strong client relationships and ensuring satisfaction.
Delivering OT security assessments, designs, and implementations.
Leading workshops, producing reports, and presenting findings.
Working closely with business development to identify new opportunities.
Keeping on top of the latest OT security trends and technologies.
Salary up to £90k
Hybrid working
Paid expenses
25days holidays plus bank holidays
And more!","Strong experience in OT architecture or consultancy., Solid understanding of IT and OT security risks and compliance frameworks (NIST, IEC 62443, etc.)., Hands-on experience with OT-specific protocols (Modbus, DNP3, OPC) and industrial control systems., Proven track record delivering cybersecurity strategies, risk assessments, and security designs., Excellent communication skills to produce high-quality documentation and presentations., A full UK driving licence and willingness to travel across the UK and occasionally abroad, Shaping and executing OT security strategies., Building strong client relationships and ensuring satisfaction., Delivering OT security assessments, designs, and implementations., Leading workshops, producing reports, and presenting findings., Working closely with business development to identify new opportunities., Keeping on top of the latest OT security trends and technologies., Salary up to £90k, Hybrid working, Paid expenses, 25days holidays plus bank holidays, And more!"
Senior Cyber Security Engineer,,Chesterfield,"Working with clients on Splunk, LogRhythm, Qradar CrowdStrike and Sentinel
Creating use cases, playbooks and runbooks on behalf of this organisation's clients
Working with this organisation's clients to design, configure and integrate SIEM and XDR platforms
Advising on security engineering best practice to clients
Act as 3rd line escalation point for analysts
Testing implementations and integrations
Creating surrounding documentation where required
Experience operating as a 3rd line security engineer
Experience using Splunk, LogRhythm, Sentinel, CrowdStrike and Qradar
Experience providing advice on SIEM/XDR implementations, integrations, configurations and designs
Eligibility for SC and NPPV3 clearance
10% on target bonus
Study leave and certifications paid for
Paid overtime availability
Internal progression opportunities
25 days annual leave (plus bank holidays)
Generous pension Scheme
Flexible working arrangements
Company specific benefits","Working with clients on Splunk, LogRhythm, Qradar CrowdStrike and Sentinel, Creating use cases, playbooks and runbooks on behalf of this organisation's clients, Working with this organisation's clients to design, configure and integrate SIEM and XDR platforms, Advising on security engineering best practice to clients, Act as 3rd line escalation point for analysts, Testing implementations and integrations, Creating surrounding documentation where required, Experience operating as a 3rd line security engineer, Experience using Splunk, LogRhythm, Sentinel, CrowdStrike and Qradar, Experience providing advice on SIEM/XDR implementations, integrations, configurations and designs, Eligibility for SC and NPPV3 clearance, 10% on target bonus, Study leave and certifications paid for, Paid overtime availability, Internal progression opportunities, 25 days annual leave (plus bank holidays), Generous pension Scheme, Flexible working arrangements, Company specific benefits"
Cyber Security Architect,,UK,"Lead integration of security tools such as Qualys (UK) for vulnerability management and CyberArk for privileged access security.
Implement and support TrueSight for infrastructure and security monitoring.
Ensure compliance and governance across multi-cloud environments using InsightCloudSec.
Apply architectural governance using PRISM and contribute to enterprise architecture frameworks.
Minimum 7+ years of experience in cyber security, with at least 3 years in a security architecture or lead design role.
Experience with tools such as: Qualys, TrueSight (BMC), Microsoft Security Suite, InsightCloudSec PRISM, CyberArk.
Strong understanding of cloud security principles (AWS, Azure, GCP).
Telecommunications background.","Lead integration of security tools such as Qualys (UK) for vulnerability management and CyberArk for privileged access security., Implement and support TrueSight for infrastructure and security monitoring., Ensure compliance and governance across multi-cloud environments using InsightCloudSec., Apply architectural governance using PRISM and contribute to enterprise architecture frameworks., Minimum 7+ years of experience in cyber security, with at least 3 years in a security architecture or lead design role., Experience with tools such as: Qualys, TrueSight (BMC), Microsoft Security Suite, InsightCloudSec PRISM, CyberArk., Strong understanding of cloud security principles (AWS, Azure, GCP)., Telecommunications background."
Network Cyber Security Assurance Engineers,,SP1,,
Cyber Security Lead,,UK,"Lead cyber risk assessment activities across IT and OT environments, correlating outputs into strategic risk tracking.
Manage the cyber security risk toolkit, including threat modelling, attack trees, and scenario-based exercises.
Develop and implement cyber security policies, processes, and staff training aligned with Secure by Design principles.
Oversee first-line security operations, including outsourced 24/7 SOC management.
Define and manage cyber threat intelligence requirements.
Provide cyber risk consultancy for business development projects, ensuring regulatory compliance.
Contribute to supply chain risk management, assessing supplier security risks.
Act as Deputy NIS Reporting Officer (NRO), ensuring compliance with NCSC's Cyber Assessment Framework (CAF) and NIS regulations.
Support cyber incident response efforts, managing containment, remediation, and business continuity.","Lead cyber risk assessment activities across IT and OT environments, correlating outputs into strategic risk tracking., Manage the cyber security risk toolkit, including threat modelling, attack trees, and scenario-based exercises., Develop and implement cyber security policies, processes, and staff training aligned with Secure by Design principles., Oversee first-line security operations, including outsourced 24/7 SOC management., Define and manage cyber threat intelligence requirements., Provide cyber risk consultancy for business development projects, ensuring regulatory compliance., Contribute to supply chain risk management, assessing supplier security risks., Act as Deputy NIS Reporting Officer (NRO), ensuring compliance with NCSC's Cyber Assessment Framework (CAF) and NIS regulations., Support cyber incident response efforts, managing containment, remediation, and business continuity."
"Head of Cyber Security and Infrastructure, Part remote",,London,,
"Head of Cyber Security, Professional Services, Part Remote",,London,,
Cyber Security (GRC) Principal,,Leeds,"Own the Information Security Assurance framework and programme.
Design and perform reviews to provide assurance of information security controls effectiveness.
Be responsible for establishing and implementing the information security and technology risk management programme.
Identify, engage and manage 3rd party organisations to ensure appropriate security assurance activities are conducted.
Lead on Secure by Design activities to ensure business and technical changes meet security requirements.
Liaise with other bodies to contribute to the maturing of cyber security practices across the Health and Social care industry.
Proven experience in a GRC Analyst role
Experience of mentoring or managing team members
Strong knowledge of Security controls across Microsoft based technologies, Endpoints, IdAM, Networks, Applications, Email and Cloud.
Experience of authoring governance documentation (standards, policies, reporting, proposals, analysis).
Experience of delivering culture, training and awareness programmes.
Experience of working with Senior stakeholder to champion the security agenda.","Own the Information Security Assurance framework and programme., Design and perform reviews to provide assurance of information security controls effectiveness., Be responsible for establishing and implementing the information security and technology risk management programme., Identify, engage and manage 3rd party organisations to ensure appropriate security assurance activities are conducted., Lead on Secure by Design activities to ensure business and technical changes meet security requirements., Liaise with other bodies to contribute to the maturing of cyber security practices across the Health and Social care industry., Proven experience in a GRC Analyst role, Experience of mentoring or managing team members, Strong knowledge of Security controls across Microsoft based technologies, Endpoints, IdAM, Networks, Applications, Email and Cloud., Experience of authoring governance documentation (standards, policies, reporting, proposals, analysis)., Experience of delivering culture, training and awareness programmes., Experience of working with Senior stakeholder to champion the security agenda."
Pre-Sales Consultant - Cyber Security and Networking Solutions,,Stockport,,
Cyber Security Consultant,,London,"3+ years’ experience in complex IT environments with a strong consulting background.
Familiarity with cybersecurity standards, frameworks, and certifications (e.g., HMG SPF, ISO27001).
Experience working on public sector programs.
Knowledge of identity management, public key infrastructure, SIEM, cryptography, firewalls, and vulnerability scanning.
Understanding of enterprise security architectures (PCiIAA, SABSA, TOGAF preferred).
A security-focused master’s degree or a STEM degree is highly desirable.
Eligibility for UK Security Clearance is essential.","3+ years’ experience in complex IT environments with a strong consulting background., Familiarity with cybersecurity standards, frameworks, and certifications (e.g., HMG SPF, ISO27001)., Experience working on public sector programs., Knowledge of identity management, public key infrastructure, SIEM, cryptography, firewalls, and vulnerability scanning., Understanding of enterprise security architectures (PCiIAA, SABSA, TOGAF preferred)., A security-focused master’s degree or a STEM degree is highly desirable., Eligibility for UK Security Clearance is essential."
Cyber Security Engineer - 6 Month Contract,,London,"Manage and main security tooling and infrastructure, including health, licence, capacity, performance and support roadmap and upgrade decisions.
Act as 2nd line team within Cyber Security, supporting 1st line with incidents and any change to tooling and processes.
Recommend and drive effective changes to enhance defence and response procedures
Investigate and resolve issues with key security platforms and services
Engage with wider D&T teams and act as SME for projects/changes
Support and lead platform changes and transition process changes into 1st line Cyber
Provide guidance and training for wider cyber security team when onboarding new technologies and processes.
Partner with SOC and IR teams in the event of a security incident to ensure timely mitigation and remediation efforts are completed
Promote a culture of security awareness and good practice
Maintains good understanding of wider industry threats and security engineering best practices
Experience working in a dynamic, fast paced environment
Security tooling experience across protection, detection and response platforms
Experience with EDR, SIEM, vulnerability management solutions and threat intelligence platforms
Hands-on experience in implementing and testing new security features, planning security tooling upgrades, troubleshooting, and responding to security incidents.
Strong communications skills and experience in presenting and communicating to both technical and non-technical stakeholders
Proven experience in managing security tooling and solutions.","Manage and main security tooling and infrastructure, including health, licence, capacity, performance and support roadmap and upgrade decisions., Act as 2nd line team within Cyber Security, supporting 1st line with incidents and any change to tooling and processes., Recommend and drive effective changes to enhance defence and response procedures, Investigate and resolve issues with key security platforms and services, Engage with wider D&T teams and act as SME for projects/changes, Support and lead platform changes and transition process changes into 1st line Cyber, Provide guidance and training for wider cyber security team when onboarding new technologies and processes., Partner with SOC and IR teams in the event of a security incident to ensure timely mitigation and remediation efforts are completed, Promote a culture of security awareness and good practice, Maintains good understanding of wider industry threats and security engineering best practices, Experience working in a dynamic, fast paced environment, Security tooling experience across protection, detection and response platforms, Experience with EDR, SIEM, vulnerability management solutions and threat intelligence platforms, Hands-on experience in implementing and testing new security features, planning security tooling upgrades, troubleshooting, and responding to security incidents., Strong communications skills and experience in presenting and communicating to both technical and non-technical stakeholders, Proven experience in managing security tooling and solutions."
Cyber Security Engineer,,Birmingham,"A solid background in IT security, with hands-on experience protecting systems, networks, and cloud environments.
A proactive mindset, with a drive to identify, own, and solve security challenges end-to-end.
Strong technical skills across areas like threat detection, vulnerability management, identity and access control, and incident response.
Familiarity with a range of security tools and platforms—such as SIEM, EDR, firewalls, and cloud security solutions.
A clear understanding of security frameworks and best practices (e.g., NIST, ISO 27001, PCI).
The ability to translate complex risks into practical actions and communicate them effectively across technical and non-technical teams
A collaborative approach, with the confidence to contribute ideas and the openness to learn from others.","A solid background in IT security, with hands-on experience protecting systems, networks, and cloud environments., A proactive mindset, with a drive to identify, own, and solve security challenges end-to-end., Strong technical skills across areas like threat detection, vulnerability management, identity and access control, and incident response., Familiarity with a range of security tools and platforms—such as SIEM, EDR, firewalls, and cloud security solutions., A clear understanding of security frameworks and best practices (e.g., NIST, ISO 27001, PCI)., The ability to translate complex risks into practical actions and communicate them effectively across technical and non-technical teams, A collaborative approach, with the confidence to contribute ideas and the openness to learn from others."
